_id,id,date,state_name,state_code,eligible_tax_payer,filled_by_due_date,filled_after_due_date,total_return_filled,filling_percentage
1,0,2017-07-01,Jammu And Kashmir,01,52455.0,26501.0,22943.0,49444.0,0.94
2,1,2017-07-01,Himachal Pradesh,02,53013.0,31134.0,19997.0,51131.0,0.96
3,2,2017-07-01,Punjab,03,220786.0,156554.0,56525.0,213079.0,0.97
4,3,2017-07-01,Chandigarh,04,20632.0,14826.0,5853.0,20679.0,1.0
5,4,2017-07-01,Uttarakhand,05,85370.0,34316.0,47247.0,81563.0,0.96
6,5,2017-07-01,Haryana,06,260418.0,159587.0,97613.0,257200.0,0.99
7,6,2017-07-01,Delhi,07,442968.0,307172.0,141368.0,448540.0,1.01
8,7,2017-07-01,Rajasthan,08,399525.0,251205.0,139850.0,391055.0,0.98
9,8,2017-07-01,Uttar Pradesh,09,738006.0,398357.0,319821.0,718178.0,0.97
10,9,2017-07-01,Bihar,10,187455.0,83443.0,92012.0,175455.0,0.94
11,10,2017-07-01,Sikkim,11,3154.0,1941.0,1089.0,3030.0,0.96
12,11,2017-07-01,Arunachal Pradesh,12,4103.0,1212.0,2553.0,3765.0,0.92
13,12,2017-07-01,Nagaland,13,3917.0,934.0,2537.0,3471.0,0.89
14,13,2017-07-01,Manipur,14,4283.0,1431.0,2408.0,3839.0,0.9
15,14,2017-07-01,Mizoram,15,2451.0,796.0,1476.0,2272.0,0.93
16,15,2017-07-01,Tripura,16,13528.0,5590.0,7310.0,12900.0,0.95
17,16,2017-07-01,Meghalaya,17,11989.0,3931.0,7092.0,11023.0,0.92
18,17,2017-07-01,Assam,18,97283.0,37502.0,48809.0,86311.0,0.89
19,18,2017-07-01,West Bengal,19,347020.0,219688.0,106234.0,325922.0,0.94
20,19,2017-07-01,Jharkhand,20,82880.0,46423.0,34147.0,80570.0,0.97
21,20,2017-07-01,Odisha,21,139875.0,45509.0,89493.0,135002.0,0.97
22,21,2017-07-01,Chhattisgarh,22,83399.0,34671.0,44549.0,79220.0,0.95
23,22,2017-07-01,Madhya Pradesh,23,257308.0,106142.0,148937.0,255079.0,0.99
24,23,2017-07-01,Gujarat,24,564539.0,311664.0,243971.0,555635.0,0.98
25,24,2017-07-01,Daman And Diu,25,4349.0,2952.0,1375.0,4327.0,0.99
26,25,2017-07-01,Dadra And Nagar Haveli,26,5291.0,3187.0,1996.0,5183.0,0.98
27,26,2017-07-01,Maharashtra,27,914892.0,582682.0,319621.0,902303.0,0.99
28,27,2017-07-01,Karnataka,29,503407.0,264970.0,234820.0,499790.0,0.99
29,28,2017-07-01,Goa,30,22196.0,10043.0,11683.0,21726.0,0.98
30,29,2017-07-01,Lakshadweep,31,90.0,25.0,49.0,74.0,0.82
31,30,2017-07-01,Kerala,32,215930.0,113438.0,101714.0,215152.0,1.0
32,31,2017-07-01,Tamil Nadu,33,624866.0,312517.0,290973.0,603490.0,0.97
33,32,2017-07-01,Puducherry,34,14080.0,7676.0,6292.0,13968.0,0.99
34,33,2017-07-01,Andaman And Nicobar Islands,35,2489.0,703.0,1470.0,2173.0,0.87
35,34,2017-07-01,Telangana,36,201614.0,82109.0,111970.0,194079.0,0.96
36,35,2017-07-01,Andhra Pradesh,37,198028.0,105432.0,84032.0,189464.0,0.96
37,36,2017-07-01,Ladakh,38,,,,0.0,
38,37,2017-07-01,Other Territory,97,,,,0.0,
39,38,2017-08-01,Jammu And Kashmir,01,58371.0,20534.0,35115.0,55649.0,0.95
40,39,2017-08-01,Himachal Pradesh,02,58745.0,21838.0,33929.0,55767.0,0.95
41,40,2017-08-01,Punjab,03,239311.0,146224.0,85964.0,232188.0,0.97
42,41,2017-08-01,Chandigarh,04,22318.0,12862.0,9408.0,22270.0,1.0
43,42,2017-08-01,Uttarakhand,05,94845.0,26778.0,62059.0,88837.0,0.94
44,43,2017-08-01,Haryana,06,286641.0,130400.0,150700.0,281100.0,0.98
45,44,2017-08-01,Delhi,07,492379.0,214872.0,276654.0,491526.0,1.0
46,45,2017-08-01,Rajasthan,08,422945.0,180075.0,230352.0,410427.0,0.97
47,46,2017-08-01,Uttar Pradesh,09,835866.0,353698.0,446687.0,800385.0,0.96
48,47,2017-08-01,Bihar,10,213585.0,56009.0,138240.0,194249.0,0.91
49,48,2017-08-01,Sikkim,11,3593.0,1444.0,1970.0,3414.0,0.95
50,49,2017-08-01,Arunachal Pradesh,12,5300.0,716.0,3916.0,4632.0,0.87
51,50,2017-08-01,Nagaland,13,4679.0,564.0,3397.0,3961.0,0.85
52,51,2017-08-01,Manipur,14,5619.0,787.0,4032.0,4819.0,0.86
53,52,2017-08-01,Mizoram,15,2976.0,562.0,2115.0,2677.0,0.9
54,53,2017-08-01,Tripura,16,15567.0,3316.0,11252.0,14568.0,0.94
55,54,2017-08-01,Meghalaya,17,13712.0,2678.0,9601.0,12279.0,0.9
56,55,2017-08-01,Assam,18,111825.0,20779.0,74061.0,94840.0,0.85
57,56,2017-08-01,West Bengal,19,405036.0,135795.0,244780.0,380575.0,0.94
58,57,2017-08-01,Jharkhand,20,95439.0,33373.0,57272.0,90645.0,0.95
59,58,2017-08-01,Odisha,21,154796.0,43923.0,101765.0,145688.0,0.94
60,59,2017-08-01,Chhattisgarh,22,90219.0,26288.0,58757.0,85045.0,0.94
61,60,2017-08-01,Madhya Pradesh,23,276943.0,72970.0,197043.0,270013.0,0.97
62,61,2017-08-01,Gujarat,24,641658.0,248716.0,381727.0,630443.0,0.98
63,62,2017-08-01,Daman And Diu,25,4781.0,2112.0,2597.0,4709.0,0.98
64,63,2017-08-01,Dadra And Nagar Haveli,26,6053.0,2491.0,3353.0,5844.0,0.97
65,64,2017-08-01,Maharashtra,27,1006222.0,420286.0,566658.0,986944.0,0.98
66,65,2017-08-01,Karnataka,29,530355.0,209672.0,309474.0,519146.0,0.98
67,66,2017-08-01,Goa,30,23786.0,8001.0,15164.0,23165.0,0.97
68,67,2017-08-01,Lakshadweep,31,220.0,56.0,115.0,171.0,0.78
69,68,2017-08-01,Kerala,32,227531.0,52149.0,173165.0,225314.0,0.99
70,69,2017-08-01,Tamil Nadu,33,673862.0,202444.0,440491.0,642935.0,0.95
71,70,2017-08-01,Puducherry,34,15013.0,5280.0,9600.0,14880.0,0.99
72,71,2017-08-01,Andaman And Nicobar Islands,35,3574.0,347.0,2623.0,2970.0,0.83
73,72,2017-08-01,Telangana,36,223860.0,63297.0,148199.0,211496.0,0.94
74,73,2017-08-01,Andhra Pradesh,37,209596.0,72423.0,128927.0,201350.0,0.96
75,74,2017-08-01,Ladakh,38,,,,0.0,
76,75,2017-08-01,Other Territory,97,21.0,0.0,20.0,20.0,0.95
77,76,2017-09-01,Jammu And Kashmir,01,62528.0,28171.0,31403.0,59574.0,0.95
78,77,2017-09-01,Himachal Pradesh,02,61691.0,30755.0,28213.0,58968.0,0.96
79,78,2017-09-01,Punjab,03,247374.0,175334.0,67633.0,242967.0,0.98
80,79,2017-09-01,Chandigarh,04,23418.0,15474.0,7823.0,23297.0,0.99
81,80,2017-09-01,Uttarakhand,05,100078.0,36786.0,56697.0,93483.0,0.93
82,81,2017-09-01,Haryana,06,302837.0,170439.0,125906.0,296345.0,0.98
83,82,2017-09-01,Delhi,07,521051.0,290005.0,226513.0,516518.0,0.99
84,83,2017-09-01,Rajasthan,08,435929.0,225342.0,199954.0,425296.0,0.98
85,84,2017-09-01,Uttar Pradesh,09,887856.0,446715.0,403556.0,850271.0,0.96
86,85,2017-09-01,Bihar,10,222312.0,78700.0,125313.0,204013.0,0.92
87,86,2017-09-01,Sikkim,11,3804.0,1527.0,2112.0,3639.0,0.96
